,CustomerID,Age,AvgMonthlyGBDownload,AvgMonthlyLongDistanceCharges,ChurnCategory,ChurnReason,ChurnScore,City,CLTV,Country,Latitude,Longitude,Married,Referrals,Population,ReferredFriend,SatisfactionScore,StreamingMusic,TotalExtraDataCharges,TotalLongDistanceCharges,TotalRefunds,TotalRevenue,UnlimitedData,ZipCode
0,2969-WGHQO,39,29,18.91,,,54,Bradley,3334,United States,35.842889,-121.004862,Yes,1,1363,Yes,'3',No,0,132.37,0.0,609.42,Yes,'93426'
1,1421-HCERK,75,22,33.48,,,54,Lakeshore,2455,United States,37.290606,-119.216328,Yes,6,52,Yes,'5',No,0,1004.4,0.0,4186.2,Yes,'93634'
2,0013-SMEOE,67,14,9.96,,,26,Lompoc,5011,United States,34.757477,-120.550507,Yes,1,6165,Yes,'3',Yes,0,707.16,0.0,8611.41,Yes,'93437'
3,6439-LAJXL,47,7,34.64,,,29,Echo Lake,2452,United States,38.851842,-120.076204,Yes,2,69,Yes,'3',No,0,311.76,0.0,905.61,Yes,'95721'
4,9621-OUPYD,21,0,10.49,,,23,Lancaster,4129,United States,34.741406,-118.38111,Yes,2,49309,Yes,'3',No,0,262.25,0.0,770.15,No,'93536'
5,9281-CEDRU,23,53,8.62,,,48,Salton City,5553,United States,33.28156,-115.955541,Yes,2,799,Yes,'5',No,0,586.16,19.12,4893.29,Yes,'92275'
6,0060-FUALY,60,14,16.39,,,26,Los Angeles,5238,United States,33.964131,-118.272783,Yes,4,58198,Yes,'3',No,0,967.01,0.0,6564.66,Yes,'90003'
7,4923-ADWXJ,33,10,1.22,,,66,Igo,3962,United States,40.524535,-122.647172,No,0,911,No,'5',Yes,0,30.5,29.29,1680.86,Yes,'96047'
8,5999-LCXAO,42,24,0.0,,,61,Orange,4155,United States,33.784597,-117.844535,No,0,15396,No,'4',No,0,0.0,0.0,29.9,Yes,'92866'
9,5685-IIXLY,54,23,7.0,Competitor,Competitor offered higher download speeds,93,Novato,4565,United States,38.135897,-122.563683,Yes,1,16429,Yes,'3',Yes,0,35.0,24.44,414.76,Yes,'94945'
10,7301-ABVAD,37,13,8.29,,,37,Valley Village,4530,United States,34.165783,-118.399795,No,0,27453,No,'3',Yes,0,596.88,0.0,6947.38,Yes,'91607'
11,4903-CNOZC,25,47,28.83,,,29,La Canada Flintridge,2064,United States,34.234912,-118.153729,No,0,20200,No,'4',Yes,0,836.07,0.0,2800.67,Yes,'91011'
12,4648-YPBTM,35,4,6.54,,,55,Arcadia,5644,United States,34.128284,-118.047732,No,0,30933,No,'4',Yes,0,346.62,0.0,4304.87,Yes,'91007'
13,3177-LASXD,43,13,40.4,Dissatisfaction,Poor expertise of phone support,77,Westmorland,2619,United States,33.03679,-115.60503,No,0,2388,No,'3',No,0,40.4,0.0,111.75,No,'92281'
14,5092-STPKP,45,4,30.18,,,42,Platina,5128,United States,40.367964,-122.937379,No,0,215,No,'4',No,0,724.32,0.0,2105.52,Yes,'96076'
15,1976-AZZPJ,47,17,0.0,,,32,Concord,5100,United States,38.013825,-122.039144,Yes,3,36186,Yes,'4',No,0,0.0,0.0,256.6,Yes,'94520'
16,7521-AFHAB,45,19,35.6,,,64,Auberry,2492,United States,36.991762,-119.242874,Yes,10,3464,Yes,'3',No,0,178.0,0.0,398.45,Yes,'93602'
17,6726-NNFWD,74,27,16.26,,,72,Murrieta,6004,United States,33.548869,-117.334165,Yes,10,36149,Yes,'4',No,0,1154.46,0.0,7589.71,Yes,'92562'
18,9087-EYCPR,63,0,39.41,,,24,Manteca,6355,United States,37.830267,-121.201018,No,0,36738,No,'3',No,0,2364.6,0.0,3869.65,No,'95336'
19,8705-WZCYL,40,26,27.46,,,31,Encinitas,2269,United States,33.054579,-117.25665,No,0,47126,No,'4',No,0,27.46,0.0,72.26,Yes,'92024'
20,0378-TOVMS,20,73,10.6,Competitor,Competitor had better devices,89,Vernalis,5641,United States,37.609095,-121.263381,No,0,274,No,'1',Yes,0,31.8,0.0,304.0,Yes,'95385'
21,8012-SOUDQ,65,26,12.58,,,52,Los Angeles,2223,United States,33.927254,-118.249826,No,0,38128,No,'4',No,0,540.94,0.0,4379.69,Yes,'90059'
22,0356-OBMAC,80,16,17.33,,,45,Winchester,5840,United States,33.657433,-117.04254,No,0,4093,No,'3',No,0,970.48,0.0,6676.78,Yes,'92596'
23,5760-IFJOZ,57,22,47.5,,,77,Richgrove,3449,United States,35.809921,-119.127437,No,0,2956,No,'4',Yes,0,142.5,0.0,456.1,Yes,'93261'
24,1216-BGTSP,30,73,5.97,,,33,Imperial,5093,United States,32.858595,-115.662709,No,0,14546,No,'3',Yes,0,268.65,0.0,5233.35,Yes,'92251'
25,0824-VWDPO,58,30,1.57,,,73,Mckinleyville,3682,United States,40.965011,-124.015255,No,0,15921,No,'4',Yes,0,70.65,0.0,4513.4,Yes,'95519'
26,2660-EMUBI,71,14,41.37,Competitor,Competitor made better offer,75,Escondido,5353,United States,33.141265,-116.967221,No,0,48690,No,'1',No,0,413.7,0.0,1312.05,Yes,'92027'
27,5832-XKAES,56,27,37.72,Other,Don't know,74,Sierraville,2320,United States,39.559709,-120.345639,No,0,227,No,'1',No,0,75.44,0.0,210.14,Yes,'96126'
28,8570-KLJYJ,40,21,25.95,,,56,Arroyo Grande,4462,United States,35.176236,-120.483243,No,0,24499,No,'3',No,0,934.2,0.0,2827.7,Yes,'93420'
29,2485-ITVKB,36,12,0.0,Attitude,Attitude of support person,78,Northridge,2643,United States,34.236683,-118.517588,Yes,1,32307,Yes,'2',Yes,10,0.0,0.0,78.75,No,'91325'
30,2074-GUHPQ,37,19,49.78,,,41,Albion,2347,United States,39.225694,-123.717354,No,0,1054,No,'4',No,0,846.26,0.0,2403.11,Yes,'95410'
31,8180-AKMJV,27,82,23.04,,,45,Litchfield,5825,United States,40.507272,-120.338228,No,0,385,No,'5',No,0,23.04,0.0,67.59,Yes,'96117'
32,2700-LUEVA,49,0,36.28,,,76,Oakland,2791,United States,37.84551,-122.235181,No,0,15438,No,'3',No,0,36.28,0.0,57.03,No,'94618'
33,5876-QMYLD,44,0,17.82,,,9,Earp,3742,United States,34.137742,-114.36514,Yes,10,1564,Yes,'4',No,0,409.86,0.0,824.96,No,'92242'
34,7470-MCQTK,42,8,0.0,Attitude,Attitude of support person,86,Alpaugh,2655,United States,35.869626,-119.498771,Yes,1,1054,Yes,'2',Yes,0,0.0,0.0,633.4,Yes,'93201'
35,3144-KMTWZ,40,7,26.56,,,63,Whittier,6035,United States,33.976678,-118.065875,Yes,8,32148,Yes,'4',Yes,90,1885.76,0.0,8645.21,No,'90606'
36,2718-GAXQD,68,52,42.13,Competitor,Competitor made better offer,92,Fallbrook,4797,United States,33.362575,-117.299644,Yes,1,42239,Yes,'1',No,0,168.52,0.0,350.12,Yes,'92028'
37,0580-PIQHM,21,82,14.73,,,52,Riverside,3275,United States,33.890046,-117.455583,Yes,7,71678,Yes,'3',Yes,0,603.93,0.0,4534.48,Yes,'92503'
38,2626-URJFX,55,57,8.58,Dissatisfaction,Network reliability,69,Termo,5691,United States,41.027281,-120.669427,Yes,1,72,Yes,'3',No,0,34.32,0.0,259.92,Yes,'96132'
39,2956-GGUCQ,71,22,2.05,Attitude,Attitude of service provider,65,Pioneer,3079,United States,38.546999,-120.271114,Yes,1,5501,Yes,'1',No,0,49.2,0.0,1821.45,Yes,'95666'
40,2040-VZIKE,56,10,44.81,,,53,Stevinson,5417,United States,37.316807,-120.855753,Yes,3,1960,Yes,'3',Yes,0,2195.69,0.0,7043.04,Yes,'95374'
41,9070-BCKQP,20,85,23.7,,,21,Wilmington,4498,United States,33.782068,-118.262263,Yes,5,53323,Yes,'3',Yes,0,1706.4,0.0,9587.6,Yes,'90744'
42,0655-YDGFJ,34,25,10.06,,,66,Palm Springs,4825,United States,33.745746,-116.514215,No,0,18884,No,'3',No,0,291.74,0.0,1615.44,Yes,'92264'
43,2259-OUUSZ,28,48,0.0,,,48,San Diego,5124,United States,32.71346,-117.236378,No,0,18525,No,'3',No,0,0.0,0.0,249.55,Yes,'92106'
44,8007-YYPWD,52,0,40.97,,,43,Homeland,5218,United States,33.761894,-117.120868,No,0,4283,No,'5',No,0,614.55,0.0,983.65,No,'92548'
45,8079-XRJRS,39,16,49.33,Dissatisfaction,Network reliability,72,Pleasant Grove,6110,United States,38.833554,-121.498102,Yes,5,901,Yes,'1',No,0,3206.45,18.72,8957.33,Yes,'95668'
46,0945-TSONX,22,52,29.15,,,30,Encino,5698,United States,34.152875,-118.486056,Yes,6,13129,Yes,'3',Yes,130,1370.05,0.0,5607.3,No,'91436'
